source,target,type,weight
实验法,科学方法,contains,0.7
相关研究,科学方法,contains,0.55
调查法,科学方法,contains,0.45
信度,心理量表,depends,0.5
效度,心理量表,depends,0.52
研究伦理,实验法,depends,0.5
神经元,心理过程,depends,0.48
突触,神经元,contains,0.56
神经递质,突触,contains,0.54
大脑皮层,神经元,evolved,0.45
边缘系统,情绪调节,analogy,0.42
内分泌系统,压力,depends,0.5
睡眠阶段,心理过程,analogy,0.35
视觉感受,神经元,depends,0.45
听觉感受,神经元,depends,0.4
格式塔原则,视觉感受,evolved,0.5
深度知觉,视觉感受,contains,0.46
选择性注意,心理过程,depends,0.4
执行控制,选择性注意,evolved,0.58
经典条件作用,行为,depends,0.55
操作条件作用,行为,depends,0.58
观察学习,操作条件作用,evolved,0.45
工作记忆,选择性注意,depends,0.62
长时记忆,工作记忆,evolved,0.58
遗忘,长时记忆,contains,0.48
问题解决,工作记忆,depends,0.52
语言,问题解决,analogy,0.36
依恋,生命周期发展,contains,0.42
皮亚杰认知发展,生命周期发展,contains,0.5
维果茨基最近发展区,皮亚杰认知发展,contrast,0.42
身份认同,生命周期发展,contains,0.44
纵向研究,生命周期发展,depends,0.4
大五人格,特质论,contains,0.68
精神分析,人本主义,contrast,0.32
动机,行为,depends,0.5
情绪调节,边缘系统,depends,0.42
压力,内分泌系统,depends,0.55
归因,态度,analogy,0.36
偏见,态度,contains,0.52
从众,态度,depends,0.38
服从,从众,analogy,0.45
说服,态度,depends,0.5
群体决策,从众,evolved,0.38
亲社会行为,群体决策,analogy,0.32
焦虑障碍,压力,evolved,0.45
抑郁障碍,情绪调节,evolved,0.45
创伤相关障碍,压力,evolved,0.42
精神病性症状,临床访谈,depends,0.35
临床访谈,心理量表,analogy,0.42
CBT,焦虑障碍,evolved,0.55
CBT,抑郁障碍,evolved,0.55
精神动力治疗,精神分析,evolved,0.52
家庭治疗,依恋,analogy,0.38
压力管理,压力,contains,0.62
行为改变,操作条件作用,depends,0.5
危机干预,创伤相关障碍,depends,0.48
职业咨询,身份认同,analogy,0.35
学习动机,动机,contains,0.58
领导心理,说服,analogy,0.32
脑成像,大脑皮层,depends,0.5
认知模型,问题解决,evolved,0.45
机器学习心理学,心理量表,evolved,0.38
人机交互,认知模型,evolved,0.38
跨文化心理学,态度,evolved,0.36
开放科学,研究伦理,evolved,0.52
开放科学,科学方法,contains,0.5
执行控制,工作记忆,analogy,0.42
语言,长时记忆,contains,0.35
动机,学习动机,analogy,0.44
情绪调节,压力管理,evolved,0.48
偏见,跨文化心理学,analogy,0.38
亲社会行为,说服,analogy,0.3
危机干预,研究伦理,depends,0.36
临床访谈,研究伦理,depends,0.38
脑成像,研究伦理,depends,0.34
机器学习心理学,开放科学,analogy,0.36
